id,creator_id,name,company_name,department,mode,date_format,budget_status,cost_center,sponsor_id,original_budget,approved_revised_budget,scope_statement,delivery_phase,original_start_date,original_end_date,end_date_type,actual_end_date,approved_revised_end_date,original_implementation_date,actual_implementation_date,overall_gyr_status,urls,close_date,closed_at,created_at,updated_at,deleted_at
87,2,AI Dev Ops Process,,,closed,Y-m-d,estimate,,,,,,,2022-03-30,2022-06-24,estimate,,,,,green,,2022-03-30,2022-03-30 15:11:38,2022-03-30 14:45:33,2022-03-30 15:11:38,
88,2,Infrastructure Build,,,closed,Y-m-d,estimate,,,,,,,2022-03-30,2022-07-29,estimate,,,,,green,,2022-11-08,2022-11-08 12:19:05,2022-03-30 15:23:22,2022-11-08 12:19:05,
89,2,NEW Access,,,closed,Y-m-d,estimate,,,,,,,2022-03-30,2022-07-29,estimate,,,,,green,,2022-03-31,2022-03-31 04:48:24,2022-03-30 15:39:07,2022-03-31 04:48:24,
90,2,newer Version of IO Dev,,,closed,Y-m-d,estimate,,,,,,,2022-03-31,2022-07-01,estimate,,,,,green,,2022-04-01,2022-04-01 13:44:45,2022-03-31 05:06:40,2022-04-01 13:44:45,
91,55,New Support Process Dev. (T8),,Cust Support,open,Y-m-d,estimate,AWS CC - 65654,181.0,120000.0,,"The purpose of this project is to:
1. solve the technical issues within our network
2. design a new application and any hardware required
3. Develop documentation to fully explains how we can service the new build
4. Provide training and training material for our customer support group
5. implement the solution(s) before year end 

We need to ensure that the schedule does not slip for the year end implementation and we will spend more money if required.

Communication and updates to the sponsor will be monthly or as otherwise needed.

We will be managed through the PMO and follow the existing planning and execution process as much as possible.",planning,2022-12-12,2023-07-13,estimate,,,2023-08-23,,yellow,,,,2022-03-31 06:39:34,2023-03-15 08:30:01,
92,6,another test,,,closed,Y-m-d,estimate,,,,,,,2022-04-22,2022-12-30,estimate,,,,,green,,2022-04-01,2022-04-01 15:25:22,2022-04-01 13:23:44,2022-04-01 15:25:22,
93,6,another test B,,,closed,Y-m-d,estimate,,,,,,,2022-04-02,2022-04-29,estimate,,,,,green,,2022-04-01,2022-04-01 15:25:26,2022-04-01 13:24:24,2022-04-01 15:25:26,
94,6,new pro b,,,closed,Y-m-d,estimate,,,,,,,2022-06-02,2022-09-24,estimate,,,,,green,,2022-04-01,2022-04-01 15:27:23,2022-04-01 15:24:20,2022-04-01 15:27:23,
95,18,MDOT Implementation,MDOT,MDOT,open,Y-m-d,estimate,,,,,MDOT Project - Training Documentation and Sessions,execution,2022-04-01,2022-09-23,estimate,,,2022-06-30,,green,,,,2022-04-02 14:24:06,2022-07-21 07:50:45,
96,18,IBI Project Organization Tasks,IBI Logistical Organization,Personal,open,Y-m-d,estimate,,183.0,,,Organise and plan tasks related to IBI Projects,planning,2022-04-01,2023-04-01,firm,,,,,green,,,,2022-04-02 15:44:43,2022-04-12 10:45:30,
97,9,5070 Pinedale,Gus & Rosa,,open,Y-m-d,estimate,,184.0,1750.0,,,execution,2021-10-24,2022-10-23,firm,,2022-10-23,,,green,,,,2022-04-05 13:19:53,2022-04-06 05:32:15,
98,18,ODOT & PTC Outstanding Updates 2022,IBI Logistical Organization,ATMS,closed,Y-m-d,estimate,,188.0,,,Record of updates waiting to be applied in Production ATMS for ODOT or PTC.,execution,2022-04-01,2023-04-01,estimate,,,,,green,,2022-07-21,2022-07-21 07:50:19,2022-04-12 07:25:49,2022-07-21 07:50:19,
99,30,New Westminster,BioPed,,open,Y-m-d,estimate,,189.0,,,,,2022-04-29,2022-06-01,estimate,,,,,green,,,,2022-04-29 05:45:00,2023-02-02 05:52:57,2023-02-02 05:52:57
100,71,Test,MIS3 Inc.,Sales,open,Y-m-d,estimate,IT,195.0,100000.0,,Perform task for ABC effort,,2022-05-27,2022-06-30,firm,,,2022-06-30,,green,,,,2022-05-11 05:00:10,2022-05-11 06:20:47,2022-05-11 06:20:47
101,72,Network Modernization Review,City of Kawartha Lakes,IT,closed,Y-m-d,estimate,,,,,,,2022-05-11,2022-07-05,estimate,,,,,green,,2022-08-23,2022-08-23 06:37:39,2022-05-11 06:11:41,2022-08-23 06:37:39,
102,72,Migration of ADFS to F5 IDP,City of Richmond Hill,IT,on_hold,Y-m-d,estimate,,,,,The purpose will be to move all (applicable) applications from ADFS to the F5. When this effort is complete the ADFS will not be used for application authentication.,,2022-05-16,2022-08-19,estimate,,,,,green,,,,2022-05-11 06:35:30,2022-05-11 06:35:30,
103,2,nnnnn,,,closed,Y-m-d,estimate,,201.0,,,,,2022-05-19,2022-05-26,estimate,,,,,green,,2022-05-11,2022-05-11 07:26:36,2022-05-11 07:25:52,2022-05-11 07:26:36,
104,76,CA Automation,,,open,Y-m-d,estimate,,,,,,,2022-05-21,2022-10-28,estimate,,,2022-10-21,,green,,,,2022-05-21 14:38:53,2022-05-21 14:38:53,
105,6,Prospect Follow Ups,,,closed,Y-m-d,estimate,,,,,,,2022-06-01,2022-12-31,estimate,,,,,green,,2023-06-13,2023-06-13 13:12:28,2022-06-01 15:38:34,2023-06-13 13:12:28,
106,6,Onboarding New Trial Users,,,closed,Y-m-d,estimate,,,,,,,2022-06-01,2022-12-31,estimate,,,,,green,,2022-06-28,2022-06-28 06:59:21,2022-06-01 16:49:59,2022-06-28 06:59:21,
107,80,College St,,,open,Y-m-d,estimate,,,,,,,2022-06-13,2022-09-05,estimate,,,,,green,,,,2022-06-10 07:13:19,2022-06-10 07:13:19,
108,27,New project - test,My company,,open,Y-m-d,estimate,,207.0,,,,,2022-06-20,2022-07-29,estimate,,,,,green,,,,2022-06-16 04:56:17,2022-06-16 04:56:17,
109,84,Agua Segura Escolar,VPR,SSA,open,Y-m-d,estimate,,,1.0,,Agua segura para escuelas públicas,,2022-01-31,2022-09-29,estimate,,,2022-11-15,,green,,,,2022-06-17 06:52:54,2022-06-17 06:52:54,
110,80,Sales Perfomers,,,open,Y-m-d,estimate,,,,,,,2022-06-20,2022-06-27,firm,,,,,green,,,,2022-06-20 06:24:48,2022-06-20 06:24:48,
111,80,Model Store Standards,,,open,Y-m-d,estimate,,,,,,,2022-06-27,2022-07-25,estimate,,,,,green,,,,2022-06-20 06:45:47,2022-06-20 06:45:47,
112,80,Barrie South,,,open,Y-m-d,estimate,,,,,,,2022-06-20,2022-12-31,firm,,,,,green,,,,2022-06-20 07:18:29,2022-06-20 07:18:29,
113,85,Test,,,open,Y-m-d,estimate,,,,,,,2022-06-27,2022-08-26,estimate,,,,,green,,,,2022-06-21 05:03:28,2022-06-21 05:03:28,
114,80,BioPed Dixie,,,open,Y-m-d,estimate,,,,,,,2022-07-14,2022-08-22,estimate,,,,,green,,,,2022-07-14 06:46:17,2022-07-14 06:46:17,
115,80,BioPed Pickering,,,open,Y-m-d,estimate,,,,,,,2022-07-11,2022-09-15,estimate,,,,,green,,,,2022-07-14 06:46:45,2022-07-14 06:46:45,
116,2,new,,,closed,Y-m-d,estimate,,,,,,,2022-07-14,2022-07-29,estimate,,,,,green,,2022-07-18,2022-07-18 08:48:24,2022-07-14 07:54:25,2022-07-18 08:48:24,
117,94,Sandbox,SB,IT,open,Y-m-d,estimate,,,10000.0,,SBSCope,,2022-08-11,2022-09-30,firm,,,,,green,,,,2022-08-10 20:37:27,2022-08-10 20:43:10,2022-08-10 20:43:10
118,95,247labs test project,007,Secret Service,open,Y-m-d,firm,cost center,220.0,500000.0,,To be the best in the world To be the best in the worldTo be the best in the worldTo be the best in the worldTo be the best in the worldTo be the best in the worldTo be the best in the worldTo be the best in the worldTo be the best in the worldTo be the best in the worldTo be the best in the worldTo be the best in the world,,2022-08-18,2022-08-31,firm,,,2023-08-31,,green,,,,2022-08-23 11:06:58,2022-08-23 11:06:58,
119,2,Epic 1,,,closed,Y-m-d,estimate,,,,,,,2022-09-01,2022-12-31,estimate,,,,,green,,2022-09-29,2022-09-29 13:59:09,2022-09-01 12:06:46,2022-09-29 13:59:09,
120,2,Coffee Shop Rebuild,,,closed,Y-m-d,estimate,,,,,,,2022-10-03,2022-12-30,estimate,,,,,green,,2023-01-13,2023-01-13 04:52:43,2022-09-29 14:22:25,2023-01-13 04:52:43,
121,2,Coffee Shop POS,,,closed,Y-m-d,estimate,,,,,,,2022-09-30,2023-01-02,estimate,,,,,green,,2022-09-29,2022-09-29 15:19:54,2022-09-29 15:14:47,2022-09-29 15:19:54,
122,2,Coffee Shop POS,,,closed,Y-m-d,estimate,,,,,,,2022-10-03,2023-01-02,estimate,,,,,green,,2022-10-04,2022-10-04 14:49:37,2022-09-29 15:28:00,2022-10-04 14:49:37,
123,2,Enhance Point-of-Sale Equipment,,,closed,Y-m-d,estimate,,,,,,,2022-10-04,2022-12-30,estimate,,,,,green,,2022-10-04,2022-10-04 15:26:41,2022-10-04 15:20:27,2022-10-04 15:26:41,
124,2,Update Point-of-Sale Equipment (HW & SW),,,closed,Y-m-d,estimate,,,,,,,2022-10-07,2023-02-03,estimate,,,,,green,,2022-10-04,2022-10-04 16:45:04,2022-10-04 15:51:41,2022-10-04 16:45:04,
125,2,Upgrade POS System,Coffee Shop Company,Operations,closed,Y-m-d,estimate,,230.0,,,,initiation,2022-10-14,2023-02-03,estimate,,,,,red,,2023-01-09,2023-01-09 04:31:35,2022-10-04 16:51:36,2023-01-09 04:31:35,
126,2,New Coffee Shop Build,Coffee Shop Company,Operations,open,Y-m-d,firm,CStoreExp67665,233.0,265000.0,,"We are building out a new store and planning for a successful grand opening week in the new year.

We are using our latest technology for serving and stock management along with a new POS system.

The purpose of this project is to:
1. solve the technical issues within our network
2. design a new application and any hardware required
3. Develop documentation to fully explains how we can service the new build
4. Provide training and training material for our customer support group
5. implement the solution(s) before 1st Q next year 

We need to ensure that the schedule does not slip for the year end implementation and we will spend more money if required.
Communication and updates to the sponsor will be monthly or as otherwise needed.
We will be managed through the PMO and follow the existing planning and execution process as much as possible.",execution,2022-10-31,2023-11-01,estimate,,2024-11-06,,,red,"[""https:\/\/drive.groogle.com\/design_store_12"",""https:\/\/groogledriv.com\/BUSINESS_CASE""]",,,2022-10-21 10:12:57,2024-01-24 07:53:16,
127,2,Update POS Systems,My Best Client,IT Services,open,Y-m-d,estimate,,242.0,14000.0,,The existing POS system in the store is outside the support. We need to find plan and install a new POS system and consider a new security system in conjunction with this installation if possible.,prepare response & effort,2024-01-08,2024-11-22,estimate,,2024-12-20,,,green,"[""https:\/\/traxidy.com\/blog""]",,,2022-11-08 12:20:10,2024-01-17 04:11:37,
128,2,RFP Project 2,,,closed,Y-m-d,estimate,,,,,,section & fees content,2022-11-01,2023-03-31,firm,,,,,green,,2023-02-09,2023-02-09 07:15:39,2022-11-08 12:20:40,2023-02-09 07:15:39,
129,2,RFP Project 3,,,closed,Y-m-d,estimate,,,,,,assess for bid,2022-11-07,2023-01-31,estimate,,,,,green,,2022-11-09,2022-11-09 09:18:41,2022-11-08 12:21:11,2022-11-09 09:18:41,
130,2,new,,,closed,Y-m-d,estimate,,,,,,,2022-11-09,2023-01-20,firm,,,,,green,,2022-11-09,2022-11-09 05:33:53,2022-11-09 05:07:33,2022-11-09 05:33:53,
131,7,Project 1,,,open,Y-m-d,estimate,,,,,,,2023-01-05,2023-01-31,estimate,,,,,green,,,,2023-01-27 07:56:33,2023-01-27 07:56:33,
132,2,Marketing Conference,Coffee Club,Operations,open,Y-m-d,estimate,,526.0,,,"Establish a booth and present a speaker at the IT Expo in Toronto. Build marketing campaign as well to promote the brand.MIS3
 hHey there! I wanted to reach out and thank you for your interest in our company. If you haven't already, I highly recommend following us on LinkedIn for updates on our latest company news and job opportunities. It's a great way to stay connected and engaged with our team. Thanks again for your support!Hey there! I wanted to reach out and thank you for your interest in our company. If you haven't already, I highly recommend following us on LinkedIn for updates on our latest company news and job opportunities. It's a great way to stay connected and engaged with our team. Thanks again for your support!Establish a booth and present a speaker at the IT Expo in Toronto. Build marketing campaign as well to promote the brand.MIS3
 hHey there! I wanted to reach out and thank you for your interest in our company. If you haven't already, I highly recommend following us on LinkedIn for updates on our latest company news and job opportunities. It's a great way to stay connected and engaged with our team. Thanks again for your support!Hey there! I wanted to reach out and thank you for your interest in our company. If you haven't already, I highly recommend following us on LinkedIn for updates on our latest company news and job opportunities. It's a great way to stay connected and engaged with our team. Thanks again for your support!Establish a booth and present a speaker at the IT Expo in Toronto. Build marketing campaign as well to promote the brand.MIS3
 hHey there! I wanted to reach out and thank you for your interest in our company. If you haven't already, I highly recommend following us on LinkedIn for updates on our latest company news and job opportunities. It's a great way to stay connected and engaged with our team. Thanks again for your support!Hey there! I wanted to reach out and thank you for your interest in our company. If you haven't already, I highly recommend following us on LinkedIn for updates on our latest company news and job opportunities. It's a great way to stay connected and engaged with our team. Thanks again for your support!Establish a booth and present a speaker at the IT Expo in Toronto. Build marketing campaign as well to promote the brand.MIS3
 hHey there! I wanted to reach out and thank you for your interest in our company. If you haven't already, I highly recommend following us on LinkedIn for updates on our latest company news and job opportunities. It's a great way to stay connected and engaged with our team. Thanks again for your support!Hey there! I wanted to reach out and thank you for your interest in our company. If you haven't already, I highly recommend following us on LinkedIn for updates on our latest company news and job opportunities. It's a great way to stay connected and engaged with our team. Thanks again for your support!",execution,2023-08-17,2024-06-05,estimate,,2024-11-14,,,yellow,,,,2023-02-09 07:26:40,2024-01-29 08:58:28,
133,22,Garage Build,The Jones,Client,open,Y-m-d,firm,,,24600.0,,Build a new garage for two cars. Include the construction plan and complete it before the end of the year.,planning,2023-12-04,2024-09-27,estimate,,,,,red,"[""https:\/\/blueprints.com""]",,,2023-02-13 09:36:53,2024-01-17 04:27:00,
134,7,New Project for test,,,open,Y-m-d,estimate,,,,,,,2023-03-07,2023-03-29,firm,,,,,green,,,,2023-03-07 06:27:45,2023-03-07 06:27:45,
135,7,New Build RFP for MIS3,,,open,Y-m-d,firm,,,,,,,2023-02-03,2023-01-16,,,,,,green,,,,2023-03-28 05:44:05,2023-03-28 05:44:05,
137,2,Test Import File,Traxidy Inc.,,closed,Y-m-d,firm,,,,,,,2023-02-03,2023-06-16,,,,,,green,,2023-03-28,2023-03-28 11:02:49,2023-03-28 06:27:49,2023-03-28 11:02:49,
138,2,The Newest CSV Tester,Traxidy Inc.,,closed,Y-m-d,firm,,,,,,,2023-07-03,2023-07-09,,,,,,green,,2023-03-28,2023-03-28 11:02:49,2023-03-28 08:34:07,2023-03-28 11:02:49,
139,2,DDDDDDD the One Two,Traxidy Inc.,,closed,m-d-Y,firm,,,,,,,2023-07-03,2023-07-09,,,,,,green,,2023-04-10,2023-04-10 06:51:18,2023-03-28 09:02:54,2023-04-10 06:51:18,
141,2,test mar 31 2023 1,Traxidy Inc.,,closed,Y-m-d,firm,,,,,,,2023-07-03,2023-07-06,,,,,,green,,2023-04-10,2023-04-10 06:51:18,2023-03-31 10:13:14,2023-04-10 06:51:18,
150,2,test APRIL 10 v1,,,closed,Y-m-d,firm,,,,,,,2023-07-03,2023-07-06,,,,,,green,,2023-04-17,2023-04-17 08:27:01,2023-04-10 07:33:22,2023-04-17 08:27:01,
156,2,test APRIL 17 v1,,,closed,Y-m-d,firm,,,,,,,2023-06-01,2023-08-22,,,,,,green,,2023-04-17,2023-04-17 08:27:01,2023-04-17 07:59:16,2023-04-17 08:27:01,
160,2,test APRIL 17 v3,,,closed,Y-m-d,firm,,,,,,,2023-02-22,2023-08-02,,,,,,green,,2023-04-17,2023-04-17 08:27:01,2023-04-17 08:13:46,2023-04-17 08:27:01,
161,2,test APRIL 17 v4,,,closed,Y-m-d,firm,,,,,,,2023-02-22,2023-08-02,,,,,,green,,2023-04-19,2023-04-19 06:59:40,2023-04-17 08:19:48,2023-04-19 06:59:40,
162,2,test APRIL 17 v5,,,closed,Y-m-d,firm,,,,,,,2023-02-02,2023-08-02,,,,,,green,,2023-04-19,2023-04-19 06:59:40,2023-04-17 08:27:11,2023-04-19 06:59:40,
166,2,test APRIL 17 v9,,,closed,Y-m-d,firm,,,,,,,2023-01-02,2023-09-02,,,,,,green,,2023-04-19,2023-04-19 06:59:40,2023-04-17 09:14:11,2023-04-19 06:59:40,
167,2,test APRIL 17 v10,,,closed,Y-m-d,firm,,,,,,,2023-01-02,2023-09-02,,,,,,green,,2023-04-19,2023-04-19 06:59:40,2023-04-17 09:27:18,2023-04-19 06:59:40,
170,2,test APRIL 17 v11.2,,,closed,Y-m-d,firm,,,,,,,2023-01-02,2023-08-02,,,,,,green,,2023-04-19,2023-04-19 06:59:40,2023-04-17 09:54:14,2023-04-19 06:59:40,
171,2,test APRIL 20 v1,,,closed,Y-m-d,firm,,,,,,,2023-01-02,2023-08-02,,,,,,green,,2023-04-20,2023-04-20 12:57:13,2023-04-20 11:43:42,2023-04-20 12:57:13,
172,2,test APRIL 20 v2,,,closed,Y-m-d,firm,,,,,,,2023-01-02,2023-08-02,,,,,,green,,2023-04-20,2023-04-20 12:57:13,2023-04-20 11:50:40,2023-04-20 12:57:13,
173,2,test APRIL 20 v4 but how long can the title be?,,,closed,Y-m-d,firm,,,,,,,2023-01-02,2023-08-02,,,,,,green,,2023-04-20,2023-04-20 13:34:58,2023-04-20 12:18:59,2023-04-20 13:34:58,
174,2,test APRIL 20 v5 but how long can the title be and there is lots wrong with this upload too,,,closed,Y-m-d,firm,,,,,,,2023-01-02,2023-08-02,,,,,,green,,2023-04-20,2023-04-20 13:34:58,2023-04-20 12:24:52,2023-04-20 13:34:58,
176,2,test APRIL 20 v6 upload too,,,closed,Y-m-d,firm,,,,,,,2023-01-02,2023-08-02,,,,,,red,,2023-04-25,2023-04-25 08:03:34,2023-04-20 13:03:06,2023-04-25 08:03:34,
177,2,test APRIL 20 v6.3 but how long can the title be and there is lots wrong with this upload too,,,closed,Y-m-d,firm,,,,,,,2023-01-02,2023-08-02,,,,,,yellow,,2023-04-25,2023-04-25 08:03:34,2023-04-20 13:05:28,2023-04-25 08:03:34,
179,2,test APRIL 20 v6.5,,,closed,Y-m-d,firm,,,,,,,2023-01-02,2023-08-02,,,,,,yellow,,2023-04-25,2023-04-25 08:03:34,2023-04-20 13:50:28,2023-04-25 08:03:34,
182,2,test APRIL 25 v2,,,closed,Y-m-d,firm,,,,,,,2023-02-24,2023-08-02,,,,,,yellow,,2023-04-25,2023-04-25 08:35:35,2023-04-25 08:03:52,2023-04-25 08:35:35,
185,2,test APRIL 25 v4.1 with v3 and 4 bad,,,closed,Y-m-d,firm,,,,,,,2023-02-24,2023-08-22,,,,,,green,,2023-04-25,2023-04-25 08:35:35,2023-04-25 08:16:18,2023-04-25 08:35:35,
186,2,test APRIL 25 v5,,,closed,Y-m-d,firm,,,,,,,2023-02-24,2023-08-22,,,,,,green,,2023-04-25,2023-04-25 08:35:35,2023-04-25 08:21:29,2023-04-25 08:35:35,
187,2,test APRIL 25 v6 big (SM@Tx),,,closed,Y-m-d,firm,,,,,,,2023-02-24,2023-08-22,,,,,,green,,2023-05-25,2023-05-25 13:01:09,2023-04-25 08:28:22,2023-05-25 13:01:09,
188,2,test APRIL 25 v7 full (sm@T),,,closed,Y-m-d,firm,,,,,,,2023-02-24,2023-08-22,,,,,,green,,2023-05-25,2023-05-25 13:01:09,2023-04-25 08:34:18,2023-05-25 13:01:09,
189,2,test APRIL 25 vEIGHT,,,closed,Y-m-d,firm,,,,,,,2023-02-24,2023-08-22,,,,,,green,,2023-04-27,2023-04-27 12:46:45,2023-04-25 08:46:56,2023-04-27 12:46:45,
190,2,test APRIL 28 v1,,,closed,Y-m-d,firm,,,,,,,2023-02-24,2023-08-22,,,,,,green,,2023-05-25,2023-05-25 13:01:09,2023-04-28 06:34:10,2023-05-25 13:01:09,
191,2,test MAY 25v3,,,closed,Y-m-d,firm,,,,,,,2023-02-24,2023-08-22,estimate,,,,,green,,2023-05-25,2023-05-25 13:29:48,2023-05-25 13:07:38,2023-05-25 13:29:48,
192,2,The Big Test May 25,,,closed,Y-m-d,firm,,,,,,,2023-05-20,2023-08-22,estimate,,,,,green,,2023-05-25,2023-05-25 13:29:48,2023-05-25 13:29:28,2023-05-25 13:29:48,
193,2,Delivery Optimization 2023,,,closed,Y-m-d,firm,,,,,,,2023-05-20,2024-03-21,estimate,,,,,red,,2023-08-25,2023-08-25 07:41:05,2023-05-25 13:52:42,2023-08-25 07:41:05,
194,41,New Project for Traxidy Nine,,,open,Y-m-d,estimate,,,,,,,2023-06-06,2023-07-08,estimate,,,,,green,,,,2023-06-08 06:23:18,2023-06-08 06:23:18,
195,41,test June 12,,,open,Y-m-d,firm,,,,,,,2023-02-24,2023-08-22,estimate,,,,,green,,,,2023-06-12 12:23:15,2023-06-12 12:23:15,
196,41,test June 12 more tasks and gaps,,,open,Y-m-d,firm,,,,,,,2023-02-24,2023-08-22,estimate,,,,,green,,,,2023-06-12 12:32:19,2023-06-12 12:32:19,
197,41,New Project For Testing Template,,,open,Y-m-d,firm,,,,,,,2023-02-24,2023-08-22,estimate,,,,,green,,,,2023-06-12 13:10:13,2023-06-12 13:10:13,
198,2,Q-Matic Ticketing System,,,closed,Y-m-d,firm,,,,,,,2023-03-15,2023-09-04,estimate,,,,,green,,2023-07-04,2023-07-04 06:53:22,2023-06-16 11:06:28,2023-07-04 06:53:22,
199,55,Testing the template project 123,,,open,Y-m-d,firm,,,,,,,2023-06-01,2023-12-12,estimate,,,,,green,,,,2023-06-26 12:41:40,2023-06-26 12:41:40,
200,2,Client Infrastructure Setup ,,,closed,Y-m-d,firm,,,,,,,2023-08-28,2023-11-01,estimate,,,,,green,,2023-08-24,2023-08-24 10:44:19,2023-08-24 10:14:53,2023-08-24 10:44:19,
201,2,Infrastructure Setup,,,closed,Y-m-d,firm,,,,,,,2023-08-24,2023-11-01,estimate,,2024-11-05,,,red,,2023-11-22,2023-11-22 10:26:22,2023-08-24 13:36:25,2023-11-22 10:26:22,
202,1,test,,,open,Y-m-d,estimate,,,,,,,2023-08-26,2023-09-09,estimate,,,,,green,,,,2023-08-25 12:20:06,2023-08-25 12:20:06,
203,2,RFP - Security Ops Centre for RECO (with SISA),,,closed,Y-m-d,firm,,,,,,,2023-08-24,2023-09-29,estimate,,,,,green,,2023-08-31,2023-08-31 08:29:24,2023-08-30 11:08:12,2023-08-31 08:29:24,
208,78,Repair Roof,,,open,Y-m-d,estimate,,,,,,,2023-09-18,2024-04-25,estimate,,,,,green,,,,2023-09-18 06:33:56,2023-09-18 06:33:56,
211,2,Refurbish Hotel ABC,,,closed,Y-m-d,estimate,,,,,Auto tracks and curtains on floors 1 through 14 before the year end.,initiation,2023-10-19,2023-11-30,estimate,,,,,green,,2023-10-18,2023-10-18 06:28:58,2023-10-17 12:29:09,2023-10-18 06:28:58,
212,2,Client New Build Process Development,,,closed,Y-m-d,firm,,,,,,,2023-11-14,2023-12-05,estimate,,,,,green,,2023-11-22,2023-11-22 10:26:22,2023-11-16 12:46:43,2023-11-22 10:26:22,
213,2,Wow That Was EASY!,,,closed,Y-m-d,firm,,,,,,,2023-11-01,2023-12-20,estimate,,,,,green,,2023-11-28,2023-11-28 04:54:58,2023-11-22 10:58:09,2023-11-28 04:54:58,
214,2,Test AdvisoryX RFP Submissions,,,closed,Y-m-d,firm,,,,,,,2023-11-12,2023-12-29,estimate,,,,,green,,2023-12-04,2023-12-04 06:00:00,2023-11-28 06:12:52,2023-12-04 06:00:00,
219,2,ffffffffffffffffffff,,,closed,Y-m-d,firm,,,,,,,2024-05-06,2024-05-22,estimate,,,,,green,,2024-01-30,2024-01-30 14:50:44,2024-01-30 14:42:44,2024-01-30 14:50:44,
220,2,defrr 2,,,closed,Y-m-d,firm,,,,,,,2024-05-06,2024-05-22,estimate,,,,,green,,2024-01-30,2024-01-30 14:50:44,2024-01-30 14:45:05,2024-01-30 14:50:44,
222,2,defrr 3.1,,,closed,Y-m-d,firm,,,,,,,2024-05-06,2024-05-22,estimate,,,,,green,,2024-01-30,2024-01-30 14:50:44,2024-01-30 14:48:42,2024-01-30 14:50:44,
223,2,defrr 3.2,,,closed,Y-m-d,firm,,,,,,,2024-05-06,2024-05-22,estimate,,,,,green,,2024-01-30,2024-01-30 14:50:44,2024-01-30 14:50:22,2024-01-30 14:50:44,
224,2,defrr 3.3,,,closed,Y-m-d,firm,,,,,,,2024-05-06,2024-05-22,estimate,,,,,green,,2024-01-30,2024-01-30 14:53:37,2024-01-30 14:52:00,2024-01-30 14:53:37,
225,2,defrr 3.4,,,closed,Y-m-d,firm,,,,,,,2024-05-06,2024-05-22,estimate,,,,,green,,2024-01-30,2024-01-30 14:53:37,2024-01-30 14:53:26,2024-01-30 14:53:37,
226,2,defrr 3.5,,,closed,Y-m-d,firm,,,,,,,2024-05-06,2024-05-22,estimate,,,,,green,,2024-01-30,2024-01-30 15:15:09,2024-01-30 14:55:09,2024-01-30 15:15:09,
227,2,defrr 3.6 risks,,,closed,Y-m-d,firm,,,,,,,2024-05-06,2024-05-22,estimate,,,,,green,,2024-01-30,2024-01-30 15:15:09,2024-01-30 14:56:58,2024-01-30 15:15:09,
228,2,defrr 4,,,closed,Y-m-d,firm,,,,,,,2024-05-06,2024-05-22,estimate,,,,,green,,2024-01-30,2024-01-30 15:15:09,2024-01-30 15:01:25,2024-01-30 15:15:09,
229,2,DIY Shed Build 1.0,,,open,Y-m-d,firm,,,,,,,2024-04-28,2024-05-30,estimate,,,,,green,,,,2024-01-30 15:14:44,2024-01-30 15:14:44,
230,2,DIY Shed Build 1.1,,,open,Y-m-d,firm,,,,,,,2024-04-28,2024-05-30,estimate,,,,,green,,,,2024-01-30 15:19:34,2024-01-30 15:19:34,
231,2,DIY Shed Build 1.3,,,open,Y-m-d,firm,,,,,,,2024-04-28,2024-05-30,estimate,,,,,green,,,,2024-01-30 15:24:28,2024-01-30 15:24:28,
